Gene,P,Number of variants
GNL2,0.019317539,11
ANKZF1,0.019376951,13
WDR72,0.019527469,10
ELTD1,0.019697139,7
ZNF264,0.019701477,8
TRMT10B,0.01970735,2
GRIA2,0.019856956,4
RPAP2,0.019872677,2
EXOC3L4,0.01987461,10
NUDT22,0.02000995,3
PCDH12,0.02020472,19
FAM177B,0.020216522,2
LGSN,0.02022849,6
CDH24,0.020467839,5
PCDHB13,0.020575126,4
TRPM5,0.02058722,25
SP110,0.020600291,6
SPRY1,0.020731587,3
PPP1R12A,0.020809218,6
RELL2,0.021188847,7
ARRDC5,0.021381015,6
AAED1,0.021388281,6
SPIB,0.021511012,2
CAPS,0.021580934,3
C22orf28,0.021602985,3
NIT1,0.021636479,7
KIF1A,0.021751506,7
EPB41L4B,0.021770311,7
GALNT9,0.021778389,3
OR8U1,0.021960985,6
ZCWPW1,0.022082612,9
NAPA,0.022083717,2
PCDHB12,0.022288163,6
MFSD5,0.022300349,5
SLFN12L,0.022493435,3
TRPA1,0.022708191,4
C5orf48,0.022719964,4
PMVK,0.022738961,6
NRBP1,0.022744474,2
OR4D1,0.022829286,3
SETD4,0.022885548,7
MYH8,0.023137218,16
DBX2,0.023223205,3
SLC22A23,0.023401409,3
BAI1,0.023518155,2
DSG1,0.023677079,21
CCDC130,0.023707861,4
LRRC71,0.023709822,2
KCNC3,0.023819797,2
URI1,0.023843206,2
PLCB4,0.023843275,4
POLG,0.023847912,13
KLHL11,0.02395545,2
ADAM18,0.024004746,11
AKT2,0.024061481,2
SLC11A1,0.024081919,10
CTC1,0.024161746,11
KIAA0020,0.024246952,14
UBE3D,0.024256053,4
PEMT,0.024264148,4
OSBPL2,0.024292342,4
PLEKHM2,0.024462272,5
ENO1,0.024634437,4
SHF,0.02469327,4
C10orf2,0.024810981,7
CCDC170,0.024815277,13
UGP2,0.024881778,2
KLC2,0.025100181,2
ZFP30,0.025248077,4
ZNF440,0.025272028,2
CNP,0.025361134,5
PLCB2,0.02546017,7
SALL4,0.025471525,8
GLI1,0.025534174,10
CAMK1G,0.025566325,2
ASIC5,0.025613185,10
C5orf25,0.025662929,4
ADAMTS7,0.025821467,7
SLC22A3,0.025863902,4
CD38,0.026013028,7
SLC13A5,0.026017862,6
DHX8,0.026062842,7
PLAUR,0.026109459,5
OR9K2,0.026119758,6
FAM5B,0.026150914,10
PKP2,0.026220295,9
SOCS6,0.026255615,3
BPI,0.026380321,9
SLIT1,0.026511681,8
REM1,0.026547685,4
SNX31,0.026566021,5
STX18,0.026665761,3
SLC25A46,0.026711505,2
COX5B,0.026810756,2
TGFBR2,0.02682735,2
NOSTRIN,0.026841665,6
ZNF770,0.02693786,2
FAM71F2,0.026940177,3
DEFB124,0.0269606,3
TUBB1,0.026975463,9
RAD50,0.026986833,13
PAPPA2,0.027094149,17
MFSD6L,0.027131919,9
KIAA1328,0.027133866,3
