Gene,P,Number of variants
UTP6,0.207967631,4
CTXN3,0.208006702,2
OR8B8,0.208032774,6
RHBDD3,0.208062875,3
CDK20,0.208070367,3
ZHX1,0.208072247,4
SLC27A2,0.20810326,3
TXNDC17,0.208119199,2
MTMR4,0.20814449,8
SLC25A48,0.208169563,2
MLF1IP,0.208184661,8
IL18RAP,0.208191611,5
MRGPRX4,0.208237149,4
OR5H14,0.208289061,3
ART3,0.208307954,6
FHOD1,0.208433583,6
CNTD1,0.20843947,4
TMEM117,0.208472936,4
SLC26A4,0.208485875,10
ZNF541,0.208666928,2
IL1RL2,0.208701861,5
CIB3,0.208775933,2
AGL,0.208787072,16
POLR3B,0.20894593,7
TOR1B,0.208976793,2
PCSK5,0.209011438,6
DPYD-AS1,0.209078713,2
RIPK3,0.209090052,2
RANBP6,0.209108191,3
RASSF9,0.209120801,8
TRUB2,0.209163709,2
PLCE1,0.209188098,14
MFSD2A,0.209264241,4
MED26,0.209317256,5
SYTL2,0.209319601,20
CACNA1G,0.20938165,9
FAM186A,0.209630324,14
WDR75,0.209749686,9
LILRB2,0.209806961,5
RNF146,0.209862636,2
HSPH1,0.209950787,5
CLUAP1,0.209954602,9
CELSR1,0.210016147,43
NUB1,0.210024666,5
OR4C15,0.210176877,5
FBXO43,0.210184882,6
ECEL1,0.210192425,11
TGFA,0.210277015,2
C18orf26,0.210397727,2
MUC4,0.210416134,27
RNF13,0.210522492,2
TNRC6C,0.210531704,15
IL15RA,0.210555912,4
CCDC27,0.210574011,16
LPO,0.210584629,12
DYSF,0.210621953,47
SIRT5,0.210761639,4
TRIM72,0.210823322,2
AQP8,0.211220964,6
SLC5A3,0.211238516,3
ATP6V1B1,0.211245197,7
CHD6,0.211320759,14
DIP2B,0.211359731,7
C8orf44,0.211461929,2
ANKRD24,0.211490995,6
CYP2R1,0.211531247,2
OR2L2,0.211820052,3
SLC7A10,0.211854581,7
VANGL2,0.21207815,3
F3,0.21209531,4
CLCF1,0.212236879,2
DRD1,0.212287483,2
MTX2,0.21254675,2
PTER,0.212548874,5
IFRD1,0.21255778,6
DBH-AS1,0.212642516,4
HOXB7,0.212673644,4
DDX10,0.212702496,5
GCDH,0.212817644,6
TAS2R41,0.212853359,5
MRPL37,0.212972418,7
TANC1,0.212976714,19
SEC14L3,0.213068281,11
UPF2,0.21311995,3
UNG,0.213169528,5
CASQ2,0.213403773,6
FAM71A,0.213556144,8
ARHGAP22,0.213556926,9
WDFY3-AS1,0.213617866,3
ANGEL1,0.213645391,6
CSMD2,0.213708193,41
CHD5,0.213746512,10
RNF122,0.21381333,2
UGT1A8,0.213813476,27
SGSM2,0.213894536,11
HTRA1,0.214078975,3
GPR19,0.214241032,3
CACNG6,0.214436608,3
SLC22A5,0.214437636,6
GATSL3,0.21446346,3
BIN2,0.214519641,3
ZNF488,0.214522571,5
B4GALT6,0.214532839,3
DPP6,0.214582945,2
ALK,0.214590882,16
WIPF2,0.215593537,3
SIM2,0.215639288,6
CMYA5,0.215730891,43
NFKB2,0.215753152,4
LAMA2,0.21578471,33
P2RY6,0.215976223,3
L3MBTL2,0.2160109,2
ABO,0.216038625,8
BLVRA,0.216124355,6
ADM2,0.216178975,4
LYAR,0.216227996,4
KPNA5,0.216283434,3
GALNS,0.21648149,9
GLE1,0.216569751,8
UGT1A10,0.216747604,26
LYST,0.216802478,29
CCDC110,0.216859746,7
ATAD5,0.216988127,12
ZNF641,0.217058895,3
KRTAP19-5,0.217124283,3
ITK,0.217162791,14
PZP,0.217420059,11
TMEM189,0.217487472,4
TMEM189-UBE2V1,0.217487472,4
HPDL,0.217593882,2
SPHKAP,0.217603907,12
KLHL33,0.217649373,5
DDX28,0.217711949,7
TPX2,0.217767833,7
BLZF1,0.217934752,4
MRPL39,0.217964192,5
EDEM2,0.217983107,14
C20orf94,0.218099769,3
CNTNAP4,0.218111849,17
ARNTL2,0.218137825,7
MEGF6,0.218190703,23
OLFML1,0.218298762,5
SPPL2A,0.218479548,2
ZNF598,0.218583406,4
OSBPL1A,0.218632778,9
TRAF3IP2,0.218850836,4
TRAF3IP2-AS1,0.218850836,4
EHBP1L1,0.218918246,10
DIMT1,0.218964309,2
IYD,0.21905399,4
ZNF45,0.219186353,6
PTGS2,0.219251675,2
MAN2A2,0.219259455,17
PDXK,0.219267025,3
BACH1,0.219303721,8
GCNT7,0.219330671,2
NDOR1,0.219524686,12
COL25A1,0.21960857,2
MANEAL,0.219651419,2
BBS12,0.219882702,9
AP5S1,0.219999484,2
PTGR2,0.220039415,3
PTPMT1,0.220042989,2
FMO5,0.220049765,4
ALDH1B1,0.220118002,10
GAL3ST4,0.220393844,9
MYO19,0.220430757,13
SCGB2A2,0.220508249,2
KRTAP10-7,0.220634945,2
IKZF4,0.220726655,6
GNA14,0.220783539,3
TRIB3,0.220800256,9
OR2B11,0.220967849,5
KRT27,0.220991947,2
ODF3,0.221029404,5
CD320,0.22104563,4
UNC13D,0.221248061,13
EP400,0.221259352,23
ZNF438,0.221351746,5
TXNDC11,0.221388219,6
TRIM66,0.221411148,6
MYBPC1,0.221490367,6
ACACA,0.22152803,8
CEP290,0.221531674,19
PVRIG,0.221681365,2
PPP6R2,0.221793141,11
CDC42EP4,0.221822572,2
OR2Z1,0.221932098,8
RBM46,0.221933578,5
ACSM5,0.221938986,3
BPTF,0.22194514,11
E2F1,0.221971287,4
RRNAD1,0.221995767,4
VPS37B,0.222045262,2
IAH1,0.222141553,6
RFNG,0.222182662,2
WNT7A,0.222236013,2
SYN3,0.222828671,10
RRP15,0.222844818,4
PNP,0.22287693,4
HTT,0.222907605,16
COL19A1,0.222999465,20
CLN3,0.223015325,4
ANXA7,0.223048044,8
CHCHD2,0.223138581,2
PCBP4,0.223295338,4
DNAH17,0.223343035,75
SYNCRIP,0.223362063,2
C20orf43,0.223624255,4
LIME1,0.22366191,3
SYNJ2BP,0.223695202,2
CEP72,0.223865878,11
RNF170,0.224083403,2
SNAP23,0.224145564,2
MTRR,0.224160725,14
HEATR8,0.224343924,20
SH3GLB2,0.224439697,5
C10orf88,0.22444338,4
DCAF8,0.224466531,6
TOX2,0.224470723,4
ZNF211,0.224513002,8
CYP4V2,0.22457729,6
ANKRD13D,0.224588835,2
TERF2IP,0.224636737,2
TMEM175,0.224752307,9
ADARB2,0.224862355,10
CHAC1,0.2250339,5
AKAP10,0.225050471,3
PRKDC,0.225207274,31
NADKD1,0.225214584,4
ZSWIM3,0.225304099,3
OR52A1,0.225509132,2
SYNE4,0.225651095,4
SHANK1,0.225662453,11
SORCS1,0.225692036,10
ALG1,0.225796999,8
TXLNB,0.225804871,9
SLC8A1,0.225818653,5
ADORA1,0.2259427,4
ANGPTL1,0.226022083,7
RALGPS2,0.226022083,7
LGALS13,0.226167173,6
AXIN2,0.226172436,11
PREPL,0.226210008,15
RRP1,0.226312019,3
FAM98B,0.226411744,2
MEI1,0.226424282,11
KCNJ8,0.226517855,3
TSGA10IP,0.226881614,6
SWT1,0.22697189,6
DNAI1,0.226975534,10
NR4A1,0.22703939,7
RPAP3,0.227079273,3
BYSL,0.227166924,3
CARKD,0.227208498,7
TTC30B,0.227249477,3
EIF4G1,0.227383574,15
FAM19A3,0.227483627,7
NT5C1A,0.227596286,4
C2orf44,0.227730844,2
NCDN,0.227774883,5
LYZL2,0.227874629,3
LZIC,0.22788903,3
TBL3,0.227973448,21
USP28,0.228142689,7
OR13C4,0.228222056,7
NINJ2,0.228359129,3
DCP1B,0.228524443,7
MVD,0.228533063,6
ASH2L,0.228538244,2
REG1B,0.228559377,2
ATP5O,0.22859866,3
TREM1,0.22867472,3
MYBPC2,0.228714265,18
PLA2G6,0.228773306,14
OR6C68,0.228788196,4
HTR1E,0.22879276,3
FOXRED1,0.228894534,3
CAV3,0.228895474,4
HGF,0.228936264,3
COX7A2L,0.228966382,2
NAT8,0.229099726,4
DLAT,0.229109874,2
LRRTM4,0.229139821,2
POTEA,0.22918143,3
FAM154B,0.229182352,6
SSH2,0.229284559,8
PARPBP,0.229337235,5
CD6,0.229455051,3
IL12RB2,0.229664168,9
OR2D3,0.229702132,4
RMND5B,0.229761546,8
IFNW1,0.229909823,3
FIGNL1,0.229923795,9
LTB4R,0.229950916,6
HR,0.229967275,18
EML4,0.229993841,6
SLC35F1,0.230032889,3
MC2R,0.23012034,2
CSRNP2,0.230308112,6
PGM3,0.230395717,3
C10orf118,0.230478382,3
NANOS2,0.230595055,2
NIPAL2,0.230727852,4
LBP,0.230797281,13
TXNDC12,0.230981162,4
KIAA0319L,0.231089796,5
PIK3R5,0.231245307,8
FNDC9,0.231263231,7
UNC13B,0.231311236,16
NAALADL1,0.231375147,14
RPS6KA2,0.231384679,3
LYG1,0.231400147,3
GPR111,0.231451638,5
INTS5,0.231535561,3
PEX3,0.231562731,4
CRTAP,0.231624396,4
CUZD1,0.231705475,7
SEC13,0.231925883,2
NAT6,0.231931577,3
SIGLEC9,0.232055701,6
OSBPL9,0.232057333,4
WDFY2,0.232086343,5
SLC40A1,0.232297119,4
BATF2,0.232323579,2
OVCH2,0.232357986,7
SLC16A14,0.232384773,2
RIT2,0.232468227,2
C10orf10,0.232493779,5
FAM65A,0.232497125,5
CEP152,0.232565989,9
CELA3A,0.23265849,2
APBB3,0.232680852,9
STOML1,0.232713396,3
DTNA,0.232742776,5
SIVA1,0.232985381,2
SVOP,0.233064291,2
OR2AG1,0.233103664,5
SMCR8,0.233129231,7
C4orf27,0.233264935,2
MMP11,0.233270888,2
GRID2IP,0.233318569,2
TBC1D9B,0.233421266,14
DSCR4,0.233463951,2
LMBRD1,0.233636415,4
ZC3H11A,0.233695505,6
RCBTB2,0.233780855,7
CRTC1,0.234073568,2
RPP38,0.234121557,4
MAP3K10,0.2344204,2
RNF25,0.234424129,4
C1orf114,0.234552992,4
FAM185A,0.234559433,2
ATP5B,0.234568775,2
MAPT,0.234598583,5
MB21D1,0.234687661,4
C8orf46,0.234707397,3
KIAA0947,0.234711354,16
TMEM150B,0.234735913,2
EFCAB5,0.234842716,13
SCG5,0.234909735,3
CWC27,0.234927368,3
DMP1,0.235032219,7
TAS2R60,0.235056134,5
HSPA14,0.235109644,2
MAP4K1,0.23523679,4
HGFAC,0.235307665,9
HOXA7,0.235407715,2
TRIML2,0.235536646,12
WDR85,0.235553412,5
SLC35G1,0.235624181,5
TDGF1,0.235661509,2
ZDHHC13,0.235686821,5
TBC1D2B,0.235917948,5
FANCG,0.235961566,4
IRAK2,0.236049534,7
SMAD9,0.236087783,4
FAAH,0.236099603,3
PRKCH,0.236198084,5
PPM1A,0.236199678,2
PDYN,0.236245727,2
PCDHB16,0.236279094,5
ISOC1,0.236280779,2
MLLT1,0.236367065,3
OR14I1,0.236390949,5
TNPO3,0.236416609,2
C3orf22,0.236596711,3
SLC1A4,0.236668066,6
XYLT2,0.236685222,5
TMX2,0.236741732,2
TMX2-CTNND1,0.236741732,2
MS4A13,0.236813518,3
CHSY1,0.236830221,3
ICA1L,0.236889151,3
TSPO,0.23689892,2
NDRG4,0.237011697,3
C2orf50,0.237073824,2
ZNF439,0.237486834,2
KPNA7,0.237555484,2
CLCA2,0.237630822,11
MTMR9,0.237675955,9
SLC2A1,0.237770573,3
PLCG1,0.237927344,3
ZNF57,0.237929902,4
ITPA,0.23811386,6
POLR3A,0.238243614,5
MTOR,0.238334725,16
DFNB31,0.238344919,15
SORBS3,0.238411125,12
LRRFIP2,0.238482127,9
NTHL1,0.238526889,4
MARCO,0.238546535,10
UTP11L,0.238871959,3
DOHH,0.239044449,2
ASXL1,0.239601381,18
SCAP,0.239693744,5
CSF1,0.239710619,6
ITGAE,0.239941472,21
C12orf42,0.240103337,3
MIS18BP1,0.240139939,13
ARHGEF2,0.240165076,2
DCDC5,0.24026385,7
PDE1A,0.24047215,4
KHDC1L,0.24047621,3
CST9,0.240508725,3
CHAF1A,0.240654681,10
DNHD1,0.240699442,28
LIPI,0.240873876,3
HS3ST5,0.240897082,2
HSD17B14,0.241159815,4
PSMD9,0.241185664,5
UBE4B,0.241240809,8
BMP4,0.241360844,3
CCDC102B,0.241665285,6
C16orf45,0.241687988,3
CDH18,0.241768481,9
SDHA,0.241803818,3
SLC38A9,0.241882373,6
METTL5,0.241973534,4
TBC1D7,0.241974589,3
PXDNL,0.24200086,22
TAS2R8,0.242117239,3
PDE8A,0.242289859,4
DERL1,0.2423072,2
C10orf120,0.242431385,3
MOK,0.242474249,8
IL5RA,0.242531029,5
CAND2,0.242591948,23
MFGE8,0.242593564,6
ZNF517,0.242785498,6
CYP11A1,0.242818706,3
ARRDC2,0.242844423,5
TTC39A,0.243033157,2
SBNO1,0.243247183,7
MICAL3,0.243294876,20
CSGALNACT2,0.24336424,3
PANX2,0.243413913,3
CARD18,0.243468222,2
RFTN1,0.243491077,5
SEMA4C,0.243606654,4
DNTT,0.243635888,10
OR2AE1,0.243663601,7
SLC25A26,0.24368587,21
C20orf96,0.243760657,3
ECI2,0.243790955,5
C1QTNF2,0.244107312,4
MYL1,0.244226587,5
SECISBP2,0.244264408,3
OR56B1,0.244422832,4
FUT4,0.244456608,2
SIPA1L2,0.244583211,11
LRRIQ1,0.244636895,13
KDM6B,0.244693964,8
UNC45B,0.244763203,9
ZNF341,0.24493727,10
PSMG2,0.245136939,7
HMGCR,0.245233172,2
ACE,0.245353563,24
IRGC,0.245428717,9
PIP5K1B,0.245590172,4
RBM45,0.245635011,2
HAS3,0.245697362,3
MKL2,0.245747867,10
FAM83H,0.245870777,6
EVX2,0.245999422,2
TMEM86A,0.246102039,2
SMURF1,0.246175639,2
RASGRP3,0.246226448,2
OXER1,0.246233817,5
GOLGA1,0.246238064,9
SLC43A2,0.246244397,3
ALKBH2,0.246272478,4
NIPSNAP3A,0.246296664,2
IKZF3,0.246446481,2
SIKE1,0.246552756,2
OR52R1,0.246571746,7
PHYH,0.246617778,5
C10orf107,0.246626622,2
COBRA1,0.246653254,3
UGT8,0.246681766,6
CABIN1,0.246741358,13
CCR2,0.246959987,2
TNIK,0.24701716,4
NOBOX,0.247111082,5
ZNF627,0.247225071,4
SETD5,0.247245734,9
HS3ST4,0.247247361,2
CHI3L1,0.247247644,9
C3AR1,0.247267242,3
CTTN,0.247286241,6
CDH6,0.247331888,2
COL5A2,0.247388473,13
HMGCLL1,0.247444078,2
PFDN2,0.24745718,2
TRAFD1,0.247484463,2
ABCC9,0.24757197,6
KCNK13,0.247673417,4
OR51B5,0.247779723,5
LDHAL6A,0.24783359,3
GATM,0.24788287,2
SLC17A5,0.247913624,5
PRF1,0.247914901,11
CHST15,0.247942417,5
OR1A2,0.247974121,4
NARFL,0.247981691,8
PNPLA6,0.248048353,4
TMEM55B,0.248218434,5
CYB5R3,0.248233765,2
APOB,0.248249349,51
NDUFS2,0.248260637,5
B4GALT7,0.248395677,4
CYBA,0.248411295,2
TACR3,0.248436635,2
ENTPD6,0.24848869,11
ALDH1A2,0.248543844,4
MPHOSPH9,0.248786266,13
EDEM1,0.248842459,9
KIAA0100,0.248870806,5
AK2,0.248929077,3
FAM198A,0.249011072,3
LGI4,0.249058097,6
SLC5A4,0.249092031,10
KIAA1211L,0.249156576,5
RAPGEF6,0.249253584,8
NDFIP2,0.249366884,2
CAMSAP1,0.249386935,6
H1FOO,0.24939454,2
TSPAN11,0.249636799,6
CD84,0.249650667,5
UPK1A-AS1,0.24966161,2
STARD13,0.2496834,13
CCDC134,0.249717349,3
TRH,0.249758052,4
CYBASC3,0.249770179,2
SYNE2,0.249797438,46
C12orf5,0.249991459,3
HSD17B4,0.250134687,5
ZNRF4,0.250147475,5
SPIRE1,0.250157622,5
WASF3,0.250197776,5
NGLY1,0.250205934,6
NANS,0.250225251,6
TCEB3B,0.250329488,3
STAP1,0.250333929,3
UGT3A2,0.250448104,6
C17orf67,0.250463308,2
NFIA,0.250482445,2
FPGS,0.250572397,2
PLG,0.250640676,7
HOXB9,0.250669587,2
VRK2,0.250796643,3
FOXJ1,0.25089295,2
BIRC7,0.250898001,7
TNFRSF18,0.250930309,5
DAAM1,0.250993637,6
CD1D,0.25106407,4
CDH3,0.251195608,6
AFMID,0.251251203,8
RFX7,0.251316513,7
ERC2,0.2513593,3
IMPG1,0.25150475,6
ADIPOQ,0.251514162,2
ADIPOQ-AS1,0.251514162,2
TSNAXIP1,0.251570027,21
CBFB,0.251632756,2
AGAP11,0.251847851,4
TOPORS,0.251851403,7
MYO5B,0.251874063,25
ADAMDEC1,0.251892845,7
PPRC1,0.25196792,7
GABRB2,0.2520144,4
FRS2,0.252097496,2
POLR2E,0.25213667,4
SMARCD2,0.252358492,2
PUM1,0.252410592,6
OR8D1,0.252499253,2
C11orf70,0.252507429,3
DIEXF,0.25263425,6
C17orf74,0.25263742,5
KIAA1919,0.252723729,6
HMCN1,0.252729657,57
KCNIP1,0.252874915,3
KCNMB1,0.252874915,3
KDM4E,0.252892117,2
C16orf96,0.252978228,6
CHD1L,0.253033535,8
PLAT,0.253064849,8
KRT80,0.253095026,7
INSRR,0.253120764,17
LAMB1,0.253148073,21
KRT39,0.253175262,7
DLG2,0.25326451,6
MNDA,0.253312428,11
NEDD1,0.253347961,5
ARMC6,0.253376447,2
HDHD3,0.253406157,5
SLC35F4,0.253414521,3
SYMPK,0.253462959,5
DNAH3,0.253474798,61
NBEAL2,0.253756085,20
FAM194A,0.253962676,14
PPARGC1B,0.254040208,14
MADCAM1,0.25410041,8
IFT20,0.254261366,3
ENAM,0.254476596,14
CCDC107,0.254606028,2
GBP5,0.254622298,6
SLC25A24,0.254694443,4
USP3,0.254720904,6
JPH2,0.254762042,2
NDUFC2-KCTD14,0.254790835,4
SLX4,0.254793362,34
ZNF836,0.254846053,3
KIF2A,0.25487018,7
CCR3,0.255077038,13
CLPTM1L,0.255089847,6
SERPIND1,0.255248938,7
LRRN3,0.25535377,5
WDR3,0.255365418,7
RCOR3,0.255685384,3
PIDD,0.255829894,9
BPIFA3,0.256002775,10
ZNF256,0.25612321,4
MED15,0.256156768,5
GPR149,0.256183691,7
MON2,0.256309921,7
TMEM14B,0.256385707,23
ANKRD23,0.256399515,7
BCO2,0.256424872,8
TSFM,0.256456841,11
OR51F1,0.256820458,4
CCDC155,0.256841833,5
ZNF74,0.256860557,5
ZNF160,0.256969551,8
VPS4B,0.256978753,2
ROCK2,0.257042883,6
DYNC2LI1,0.25705254,6
ZNF671,0.257192729,3
CAPS2,0.257273219,7
STRADB,0.257384028,4
DCST1,0.257515252,7
CACNA1C-AS1,0.257797923,2
KCNIP3,0.257806571,3
C17orf28,0.257883131,5
LIN7B,0.257896217,3
FAM54A,0.257922756,6
MCPH1,0.25811205,21
MED28,0.258137133,4
CCDC23,0.25832982,2
WBP1L,0.258400632,2
OAZ1,0.258437434,3
COQ3,0.258461606,2
PRSS36,0.258498453,3
CSF1R,0.258574826,10
THRB,0.258847122,2
SNCAIP,0.258856291,10
PIEZO1,0.258882856,13
CRNKL1,0.258886692,4
HELQ,0.259216368,8
ANKRD39,0.259334458,4
PSKH1,0.259348813,4
TBC1D24,0.25940014,5
IL31RA,0.25944115,10
AQP7,0.25944557,4
RIOK1,0.260333606,2
AMIGO3,0.260403074,8
GMPPB,0.260403074,8
DLG5,0.26044177,19
TTLL10,0.260676331,12
CRELD2,0.260688785,3
KIAA1377,0.260723308,12
CD2,0.260810493,2
MEA1,0.261021435,2
PDIA2,0.261051257,8
SNRK,0.261203362,2
TMEM38A,0.261213784,5
GTF2A1,0.261360739,2
FNBP1,0.261377013,2
LANCL2,0.261400966,6
VPS37C,0.261503307,6
MEOX2,0.261554427,2
PANK4,0.261565647,2
MYOCD,0.261572135,12
PTGIS,0.261639393,16
KEL,0.261738384,11
FBXO42,0.261820288,2
NSUN4,0.261826935,5
SYPL1,0.261839142,3
NACAD,0.261947146,2
RILP,0.261983257,6
MIB2,0.262031374,9
COX4I2,0.26206645,4
HELB,0.262074316,6
IQCC,0.262120791,6
WIPF1,0.262132015,2
N4BP2L2,0.262158622,5
C1orf198,0.262198014,3
ASNSD1,0.262198137,4
TNFSF4,0.262288282,2
AP1M2,0.262416139,5
ZNF480,0.262547026,2
BCL6,0.262646314,2
SEC24A,0.262654544,6
NCBP1,0.262704351,2
VPS33B,0.262809786,6
NANP,0.262839343,3
C2orf15,0.262939005,14
CA14,0.263012693,3
STOML3,0.263020763,7
OAS1,0.263158262,6
KRT32,0.263192791,6
LAT,0.263267787,2
ZNF143,0.26342779,4
SLC46A3,0.263452235,5
ZNF223,0.263481522,4
CC2D2A,0.263551453,16
CCKAR,0.263638112,4
FGFRL1,0.263663016,4
STX4,0.263700862,2
HEATR6,0.263813914,14
COL7A1,0.263863136,46
ANKLE2,0.264017868,15
SNAPC5,0.264049656,2
NUP205,0.264060269,14
TEX10,0.264151098,2
PVRL1,0.264201733,6
AATK,0.264344164,3
CFDP1,0.264412444,3
PCDH1,0.264426272,6
CTSD,0.264435186,3
PLEKHH1,0.264435437,12
KCNJ12,0.264468092,5
ULK1,0.264775761,13
ADCK1,0.264788313,6
RPL30,0.264800299,2
ZNF613,0.264814205,5
PPEF2,0.264879175,15
DAOA,0.265204653,3
DAOA-AS1,0.265204653,3
DNAJC18,0.265274494,4
LAPTM5,0.265352761,3
DGUOK,0.265572371,2
LZTFL1,0.265612977,6
PPP2R5C,0.265641793,2
NIPSNAP3B,0.265667212,5
ELK3,0.265717853,4
RAP1GAP,0.2657649,5
HESX1,0.265781958,2
CAPN2,0.26601578,12
PARP1,0.266077378,10
HOXA-AS3,0.266175738,3
SPATS2,0.266240987,6
CCDC36,0.266242902,2
GDA,0.266322831,2
DMBT1,0.266392064,13
METTL16,0.266517268,6
ZNF560,0.266605181,13
WDR69,0.266623531,3
NEK3,0.266626723,7
PBXIP1,0.266654362,6
SH2D3C,0.266824585,9
MAP3K3,0.266921946,3
TMIGD1,0.267047655,2
RNF113B,0.267144208,2
WNK1,0.267267326,14
METTL23,0.267365345,2
MLF2,0.267368893,3
GPR152,0.267445833,6
TFP1,0.267450587,2
ETNK1,0.267478544,2
IDO1,0.26747863,3
IMMP2L,0.267532488,7
SLCO4C1,0.267583506,10
KCNA5,0.267791766,3
SLC9A1,0.267927092,5
SPARCL1,0.267947963,9
NUDT13,0.268143452,8
ZNF638,0.268147574,15
PPWD1,0.268193308,7
TCP10L,0.26829608,3
SIRPD,0.268699918,3
OPLAH,0.268886918,8
L3MBTL4,0.268960303,3
C7orf49,0.269067575,4
PSMD8,0.269165453,2
FAM123A,0.269342338,6
EFHA2,0.269417325,4
PPCDC,0.269693869,3
DVL2,0.269698713,5
HRH4,0.269706111,3
SLC22A8,0.26975615,5
CPVL,0.269918734,7
EXOSC9,0.270070675,4
BBS4,0.270093341,4
VPRBP,0.270159268,3
ZMYM2,0.27018659,3
VWF,0.270190504,30
PROM1,0.270196768,12
FAM178A,0.270593897,4
CRTC2,0.270609161,5
TSGA10,0.27071757,3
TBK1,0.270812353,6
TAS2R38,0.271167057,7
MEP1B,0.271177845,7
FAM208A,0.271257173,12
FAM71B,0.271337876,10
CLTC,0.271429254,2
PTRH2,0.271429254,2
TOP2B,0.271665091,8
CA3,0.27168321,2
FAM82B,0.271698479,3
N4BP1,0.271784691,4
FES,0.271977962,10
SMPDL3B,0.272022081,8
ZC3H7B,0.272113867,8
NBR1,0.272433206,9
ASRGL1,0.272556444,5
EPHA10,0.272686807,15
MAP3K14,0.2726885,5
IFIT5,0.272707208,6
WDR64,0.272725819,10
C1QTNF5,0.272742715,10
MFRP,0.272742715,10
ROBO2,0.272838145,12
LRRC19,0.27291516,4
FDFT1,0.272942318,3
SPPL2B,0.272952308,3
AFAP1L1,0.272983714,14
MAN2B2,0.273005922,24
CEACAM6,0.273114612,3
MYO1C,0.273164293,8
PTPRR,0.27338829,11
MZF1,0.273415229,5
NME1,0.273430164,2
RNF14,0.273436729,3
KRTAP1-5,0.273772891,2
DGKQ,0.273928752,5
TGM1,0.274071534,16
IGSF8,0.274197485,10
SPATA9,0.274226119,7
HIGD1B,0.27425007,2
EPB41L4A,0.274396122,16
CABLES1,0.274444106,4
AEN,0.274641498,5
UGT1A3,0.274901819,11
OR8G1,0.275150157,2
MBP,0.27546715,3
PLK4,0.275487315,4
RAB40B,0.275490498,2
ASPSCR1,0.275506076,6
SDCCAG3,0.275640433,5
FOXM1,0.275653283,10
F11R,0.27566949,4
HAUS8,0.275695987,6
FSD2,0.275741709,13
PLXNA2,0.275829316,16
S100PBP,0.276003604,5
SPTLC3,0.276258689,4
CYP1A2,0.27637412,14
MCF2L2,0.276406077,17
IMPA1,0.276531745,2
PDE7B,0.276623244,6
NTN1,0.276635419,3
ERRFI1,0.276683923,6
LRRC39,0.27682208,4
PRPF4,0.27693012,3
CHL1,0.276941738,9
ENPP5,0.276973639,3
PRRC2B,0.277121044,11
ZNF330,0.277238581,2
NLRP7,0.277256931,16
AKIP1,0.277265556,5
LRRC2,0.277351177,4
IGSF9B,0.277360343,4
GIPC2,0.27739491,2
BNIP2,0.277400196,2
MCOLN1,0.277418396,4
ZNF732,0.277466749,2
SYNM,0.277504597,19
NADSYN1,0.277730104,14
GLS,0.277733341,2
SHISA5,0.277813559,6
OR4X2,0.277881742,4
T,0.27802288,2
NR6A1,0.278033474,2
ZZZ3,0.278055041,7
VAT1,0.278157882,2
HSPB3,0.278165485,2
CREBRF,0.278537161,2
WDR54,0.278674279,2
SLC16A4,0.27868749,2
C14orf101,0.278824022,6
ENPP3,0.278882525,12
HADHB,0.278895159,4
RPS6KA1,0.279061523,2
TM6SF2,0.279071603,5
DEDD2,0.279128921,2
ADSL,0.279166636,6
PRKCD,0.279262424,6
LDHAL6B,0.279298881,2
EWSR1,0.279352368,4
DRG2,0.279427715,2
WWP2,0.279430307,10
PI15,0.279557825,3
TNN,0.279561648,13
ACP6,0.279575274,5
EIF2B5,0.279684275,86
NALCN,0.279755098,6
GLYATL1,0.279816558,6
GINM1,0.279823942,2
PKN3,0.279843038,14
KLK4,0.279976123,3
HERC6,0.280099427,9
SIM1,0.280108325,4
ITIH1,0.280261545,13
ITGBL1,0.280384128,3
UGT1A6,0.280385557,20
ARID3C,0.280394316,4
ABCA8,0.280397256,26
POU4F3,0.280444819,2
MCC,0.280696571,22
GPS2,0.280712127,2
SMYD1,0.280867516,9
HEXB,0.280868793,7
PTPRE,0.280945335,5
NPY5R,0.281040529,2
DPYSL2,0.281131871,3
MMEL1,0.281183454,14
ITGB5,0.281212363,9
ZNF677,0.281347831,5
ADH6,0.28135525,5
SP140,0.281485021,6
NCKAP5,0.281559923,24
CHKB-CPT1B,0.281780162,11
C11orf42,0.281791146,4
QSOX1,0.281842518,11
ANGPTL2,0.281888141,2
TAOK2,0.281942757,7
KIF26A,0.28197431,16
C6orf58,0.282178694,4
ADAMTS15,0.282370709,8
C5orf52,0.282395598,3
SPRR4,0.282477879,2
DNMT1,0.282479536,19
CRTC3,0.282539968,8
STT3B,0.282572411,3
FAM228A,0.28267608,3
ZFHX2,0.282690244,2
TAF2,0.282694361,3
MACROD2,0.282756917,8
TRIM55,0.282822331,7
PRPF6,0.282916532,3
NTN3,0.282928128,2
KSR1,0.282986538,3
KLHDC8A,0.282989914,5
HS6ST3,0.283043265,2
PDP2,0.283144433,4
USP32,0.283455628,7
ZNF623,0.283499825,4
MBNL1,0.283511122,2
TMEM14E,0.283511122,2
HOPX,0.283608438,2
DYNC1I1,0.283844397,6
CGREF1,0.283850449,4
KIAA0754,0.28386194,12
NRD1,0.284057604,8
FCRLA,0.284164658,5
AKAP7,0.284209884,6
AKAP1,0.284254125,4
OR4K5,0.284262189,5
SLC6A17,0.284316922,8
HEPACAM2,0.284332546,8
LPA,0.284345155,19
BOLA3,0.28466275,3
RXFP4,0.284698429,10
DIO1,0.284732092,3
TYW3,0.284824771,2
